Dataset,Criterion,Accuracy
Congressional Voting Records,Gini Index,0.9142857142857143
Congressional Voting Records,Pruned (Gini Index),0.9714285714285714
Congressional Voting Records,Bagged (Gini Index),0.9428571428571428
Congressional Voting Records,Bagged (Pruned (Gini Index)),0.9714285714285714
Congressional Voting Records,Gain Ratio,0.9142857142857143
Congressional Voting Records,Pruned (Gain Ratio),0.9714285714285714
Congressional Voting Records,Bagged (Gain Ratio),0.9428571428571428
Congressional Voting Records,Bagged (Pruned (Gain Ratio)),0.9714285714285714
Congressional Voting Records,Chi-Square,0.9142857142857143
Congressional Voting Records,Pruned (Chi-Square),0.9714285714285714
Congressional Voting Records,Bagged (Chi-Square),0.9714285714285714
Congressional Voting Records,Bagged (Pruned (Chi-Square)),0.9714285714285714
Congressional Voting Records,Hellinger Distance,0.7142857142857143
Congressional Voting Records,Pruned (Hellinger Distance),0.8285714285714286
Congressional Voting Records,Bagged (Hellinger Distance),0.7714285714285715
Congressional Voting Records,Bagged (Pruned (Hellinger Distance)),0.8285714285714286
Congressional Voting Records,Twoing Rule,0.9142857142857143
Congressional Voting Records,Pruned (Twoing Rule),0.9714285714285714
Congressional Voting Records,Bagged (Twoing Rule),0.9428571428571428
Congressional Voting Records,Bagged (Pruned (Twoing Rule)),0.9714285714285714
Chess (King-Rook vs King-Pawn),Entropy,0.7090719499478624
Chess (King-Rook vs King-Pawn),Pruned (Entropy),0.7090719499478624
Chess (King-Rook vs King-Pawn),Bagged (Entropy),0.7163712200208551
Chess (King-Rook vs King-Pawn),Bagged (Pruned (Entropy)),0.7122002085505735
Chess (King-Rook vs King-Pawn),Gini Index,0.7090719499478624
Chess (King-Rook vs King-Pawn),Pruned (Gini Index),0.7090719499478624
Chess (King-Rook vs King-Pawn),Bagged (Gini Index),0.7122002085505735
Chess (King-Rook vs King-Pawn),Bagged (Pruned (Gini Index)),0.708029197080292
Chess (King-Rook vs King-Pawn),Gain Ratio,0.7101147028154328
Chess (King-Rook vs King-Pawn),Pruned (Gain Ratio),0.7142857142857143
Chess (King-Rook vs King-Pawn),Bagged (Gain Ratio),0.7142857142857143
Chess (King-Rook vs King-Pawn),Bagged (Pruned (Gain Ratio)),0.7101147028154328
Chess (King-Rook vs King-Pawn),Chi-Square,0.7090719499478624
Chess (King-Rook vs King-Pawn),Pruned (Chi-Square),0.7090719499478624
Chess (King-Rook vs King-Pawn),Bagged (Chi-Square),0.7163712200208551
Chess (King-Rook vs King-Pawn),Bagged (Pruned (Chi-Square)),0.7069864442127216
Chess (King-Rook vs King-Pawn),Hellinger Distance,0.64859228362878
Chess (King-Rook vs King-Pawn),Pruned (Hellinger Distance),0.7122002085505735
Chess (King-Rook vs King-Pawn),Bagged (Hellinger Distance),0.656934306569343
Chess (King-Rook vs King-Pawn),Bagged (Pruned (Hellinger Distance)),0.708029197080292
Chess (King-Rook vs King-Pawn),Twoing Rule,0.7090719499478624
Chess (King-Rook vs King-Pawn),Pruned (Twoing Rule),0.7090719499478624
Chess (King-Rook vs King-Pawn),Bagged (Twoing Rule),0.7184567257559958
Chess (King-Rook vs King-Pawn),Bagged (Pruned (Twoing Rule)),0.7049009384775808
